No. Item,Target Word,Type of Metonymy,Metonymic Sentence,Literal Sentence,Metonymic Paraphrase,Literal Paraphrase,Sentence with Metonymic Paraphrase (for Experiment 2),Sentence with Literal Paraphrase (for Experiment 2)
369, key ,CAUSER-FOR-RESULT, the child heard the key in the door , police found the keys to the car , clacking , piece , the soundtrack includes the rhythmic clacking , the air strikes a piece of metal
370, musician ,CAUSER-FOR-RESULT, a little boy hears a musician on the subway , dancers would surround the musician , music , man , the radio blared music , the people applauded the man 
371, motorbike ,CAUSER-FOR-RESULT, a woman heard a motorbike , a two-car train struck a motorbike , roar , vehicle , these turbos muffle the roar , its occupants abandoned a vehicle
372, rain ,CAUSER-FOR-RESULT, my ears heard the rain , early visitors were able to escape the rain , sound , precipitation , the heavy dust deadened the sound , falling temperatures could freeze any precipitation
373, choir ,CAUSER-FOR-RESULT, a crowd was gathered to hear the choir , the mayor officially welcomed the choir , voice , member , two of the songs feature the voices , his dad thanked all the members
374, motor ,CAUSER-FOR-RESULT, witnesses heard the motor , their electricians checked the motor , roar , machine , loudspeakers recreate the roar , a sensor that activates the machine
375, owl ,CAUSER-FOR-RESULT, an outdoorsy kid enjoyed listening to the owls , too many people at one time can frighten the owls , hoot , animal , speakers reproduce the hoots , the organization protects the animals from poaching
376, violinist ,CAUSER-FOR-RESULT, a large audience was collected to listen to a violinist , the local union needed a violinist for the orchestra , tone , person , more instruments added their individual tones , the case involves a person
377, waterfall ,CAUSER-FOR-RESULT, patients can listen to the waterfall , some tourists had visited the waterfall today , roar , area , the rush created a roar , motorists were advised to avoid the area
378, sea ,CAUSER-FOR-RESULT, guests can listen to the sea , hundreds of other brave souls stormed the sea , noise , area , the system records the noises , other types of animals inhabit the area
379, subwoofer ,CAUSER-FOR-RESULT, the subwoofer reverberated noticeably , the subwoofer incorporates an 8-inch driver , sound , device , the sound penetrates his walls , this device offers excellent performance
380, car ,CAUSER-FOR-RESULT, the cars reverberate like instruments , the cars were approaching the rail crossing , noise , vehicle , the noises increased in frequency , the vehicles collided at around 7am
381, weapon ,CAUSER-FOR-RESULT, a weapon reverberated in the halls , the weapon discharged accidentally , rumour , instrument , the rumours grew louder , the instrument performed excellent
382, string ,CAUSER-FOR-RESULT, the strings resonated well , the strings terminated on a nifty metal bridge , sound , cords , the sounds blended together effortlessly , the cords vibrated like natural tissue
383, guitar ,CAUSER-FOR-RESULT, electric guitar resonated through the room , a v-shaped electric guitar hangs on the opposite wall , squeal , object , the squeal has always sounded to me like a door opening , a dark object slung over his shoulder
384, instrument ,CAUSER-FOR-RESULT, traditional instruments will resonate through the hall , traditional instruments offer a finite range of sound options , sound , product , the sounds overwhelmed the audience , its most recent product weighs 15 pounds
385, orchestra ,CAUSER-FOR-RESULT, the fantastical orchestra resonates through the land , the orchestra performed the opening , sound , player , the sound echoed throughout the auditorium , the players have scheduled concerts on their own
386, guitar ,CAUSER-FOR-RESULT, the engineers refused to record his guitar , one colorado man strummed his guitar , track , product , soft drum beats permeate the track , traditional manufacturers construct products
387, guitar ,CAUSER-FOR-RESULT, the musician distorted the guitars , several members of the touring party packed the guitars , sound , object , the artists recorded sounds , the woman smashed several objects
388, fans ,CAUSER-FOR-RESULT, the fans deafened the final whistle  , the fans showed their displeasure , cheer , people , the cheers swelled into one constant roar , 13000 people gathered at formal border crossing points
389, stadium ,CAUSER-FOR-RESULT, the stadium was deafening at 127.2 decibels , the stadium hosted its first game on april 18 , noise , place , the noise intensified to an ear-splitting level , the place opened in september
390, firework ,CAUSER-FOR-RESULT, fireworks deafened their arrival , fireworks burst above the harbor , boom , device , the booms stopped suddenly , the device releases toxic metal particles
391, engine ,CAUSER-FOR-RESULT, this engine deafened my ears , the engine complies with emissions regulation , roar , machine , a roar erupted behind them , the machine generates a lot of heat
392, hammer ,CAUSER-FOR-RESULT, the forge hammers deafened all within earshot , the hammer slipped from my thumb , clatter , tool , a clatter shook the floor , the tool hits a woman
393, orchestra ,CAUSER-FOR-RESULT, the orchestra drowns out the singers at times , the orchestra meets for rehearsals on wednesday , sound , player , the sound emanates from the stage  , the players accepted a 15 percent cut
394, headphone ,CAUSER-FOR-RESULT, the headphones drown out all that background , the headphones come in four metallic colors , music , device , the music pumped directly into her ears , the device also incorporates a sensor
395, stereo ,CAUSER-FOR-RESULT, the stereo drowns out the engine , the stereo receives satellite signal , sound , device , the sound floated free of the speakers , the device includes a new system
396, fan ,CAUSER-FOR-RESULT, the fans then drowned out the announcer , the fans swarmed the buses , scream , people , the screams resonate across msu campus , around 200 people sustained serious injuries
397, audience ,CAUSER-FOR-RESULT, the audience then drowned out the heckler , the audience enjoyed the first half of the movie , cheer , people , the cheers intensified at the introduction , elderly people behave in strange ways
398, protestor ,CAUSER-FOR-RESULT, about 300 counter-protestors drowned out about 30 right-wing activists , counter-protestors shouted racial epithets , roar , people , a roar reverberated through the office  , people suffering acute respiratory infections
399, activist ,CAUSER-FOR-RESULT, aids activists drowned out the speech , some activists expressed outrage over the incident , voice , people , the voices yelled loud curses , people avoided meetings
400, megaphone ,CAUSER-FOR-RESULT, the presidential megaphone drowns out all else  , an enormous megaphone projected a human voice , voice , device , the voice sounded familiar , the device belonged to a resident
401, megaphone ,CAUSER-FOR-RESULT, a megaphone echoed through the rotunda , megaphones amplify the sounds of the forest , squeal , device , high pitched squeals blasted out of the speaker , these devices use bluetooth
402, firecracker ,CAUSER-FOR-RESULT, firecrackers echo through the misty morning , firecrackers release toxic particles , bang , device , the bangs sounded like a shot , the device contained a mix
403, bagpipe ,CAUSER-FOR-RESULT, bagpipes echoed through the halls of the building , all bagpipes have at least one chanter , sound , instrument , the sound wafted through the hall , the instrument first appeared in the mid-17th century
404, bee ,CAUSER-FOR-RESULT, a swarm of bees were echoing around the basilica , bees are facing extinction , buzzing , animal , the buzzing has softened over the last several days , the animals survive the infection
405, heel ,CAUSER-FOR-RESULT, her heels echoed through an empty room , her heels glide just above the ground , drum , shoe , the drums approached nearer , her shoes ripped after beatings
406, gun ,CAUSER-FOR-RESULT, their guns echo around the showground , their guns pointed at the men , shot , weapon , shots rang out from above , these weapons explode in the air
407, stomach ,CAUSER-FOR-RESULT, my empty stomach echoed like an abandoned cave , our stomach produces acid , rumble , organ , the rumble grew in volume , the organ functioned immediately
408, hoof ,CAUSER-FOR-RESULT, the hoofs echoed through the empty village , the horse's hoofs hit wooden planks , clatter , feet , the clatter startled the woman , their feet sink into the soft mud
409, harp ,CAUSER-FOR-RESULT, the loud harp resounds in the hall , the harp weighs 30 kilograms , music , item , the music stopped at once , the item dates back centuries
410, wolf ,CAUSER-FOR-RESULT, the wolf resounds around the whole block , the wolf snatched a little bird , howl , animal , the howl ceased for a moment , the animal retreated into a corner
411, television ,CAUSER-FOR-RESULT, the television blared in the background , the television illuminated the living room , sound , device , the sound continued near the house , the device supports several apps
412, tuba ,CAUSER-FOR-RESULT, a tuba blares in the distance , the tuba produced a smoother tone , sound , product , the sound intensified on stage , the product costs $499
413, tuba ,CAUSER-FOR-RESULT, a tuba resonates at a lower frequency , the tubas needed a little polish , sound , product , a sound struck her ear , the product arrived damaged
414, saxophone ,CAUSER-FOR-RESULT, saxophones blared from the floor above , this saxophone belonged to my father in law , tones , product , the tones rang through the silent rooms , the product consists of two parts
415, guitar ,CAUSER-FOR-RESULT, a distorted electric guitar disturbs any peace , the first electric guitars appeared in the 1930s , twang , product , twangs emanated from one speaker , these products bear the logos of brands well known
416, synth ,CAUSER-FOR-RESULT, guitars and synths melt over each other , cheaper digital synths flooded the market , melody , product , the melodies flowed into his ears , the product operates at 6864 mhz
417, synth ,CAUSER-FOR-RESULT, new age synths surged in my ears , the synth sports 37 keys , beat , product , the beats blasted out of the speakers , the product delivers higher performance
418, synth ,CAUSER-FOR-RESULT, buzzing synths fill the air , the synth features 29 preset voices , hum , product , hums filled the space , the product integrates technology
419, guitar ,CAUSER-FOR-RESULT, his guitar filled the air , his guitar broke in college , sound , product , the sound resonated on my chest  , the product incorporates traditional materials
420, scanner ,CAUSER-FOR-RESULT, police scanners blare in the background , police scanners emit infrared waves , audio , device , the audio improved drastically , other devices receive emergency messages
421, clock ,CAUSER-FOR-RESULT, the alarm clock blared in the bedroom , the alarm clock monitors your sleep cycles , ringing , device , the ringing woke him up , the device costs $34.99
422, phone ,CAUSER-FOR-RESULT, their cell phones rang out long , cell phones contain chemicals , ring , device , the ring hurt my ears , the device connects to the network
423, piano ,CAUSER-FOR-RESULT, the piano rings out with ancient dancetunes , the piano includes a plaque , sound , product , the sound boomed from the speaker , the product needed actual repair
424, oboe ,CAUSER-FOR-RESULT, the oboe pierces the silence , the oboe belonged to a musician , whine , object , the whine penetrated the other voices , the object measures roughly 65 cm
425, gun ,CAUSER-FOR-RESULT, the nail gun pierces the silence of his neighborhood , a commercial nail gun valued at $600 , shot , tool , a few shots rattled in the distance , the tool damaged the door
426, saxophone ,CAUSER-FOR-RESULT, his saxophone gently pierces the air , a saxophone hangs on a white fence , sound , product , the sound permeates the room , the product incorporates wood and plastics
427, helicopter ,CAUSER-FOR-RESULT, the mariner reported hearing a helicopter , the coast guard sent a helicopter , noise , vehicle , the distance lessens the noise , the police tracked the vehicle
428, tram ,CAUSER-FOR-RESULT, pedestrians using earphones don't hear trams , thousands of passengers have boarded trams , clatter , vehicle , a nice ear might distinguish the clatter , the protestors stopped the vehicles
429, bacon ,CAUSER-FOR-RESULT, the smoky bacon drowned out the other meats , the bacon renders some of its fat , flavor , meat , the flavor faded slowly from her mouth , the meat marinates at room temperature
430, coffee ,CAUSER-FOR-RESULT, roasting coffee wafted through the air , green coffee contains acid , smell , beverage , the smell persisted throughout the day , the beverage contains fewer calories
431, garlic ,CAUSER-FOR-RESULT, garlic will continue wafting through the air , the garlic loses its heat , aroma , bulb , the aroma suffused the air , the bulb grows in the soil
432, maple ,CAUSER-FOR-RESULT, sweet maple wafted through the house , the maple adds sweetness  , scent , syrup , the scent diffused throughout the room , the syrup does not flow in a steady stream
433, jeep ,POSSESSED-FOR-POSSESSOR, the jeep honked his horn , the jeep features many accessories , driver , vehicle , the driver fled the scene , a single vehicle had rolled into the ditch
434, jeeps ,POSSESSED-FOR-POSSESSOR, several israeli military jeeps kidnapped a student , jeeps crossed the toll plaza , soldier , vehicle , soldiers arrested two brothers , the vehicle exceeds a certain speed
435, car ,POSSESSED-FOR-POSSESSOR, a passing car rescued one of the puppies , a passing car hit the 7-year old boy , driver , vehicle , a driver committed several traffic violations , the vehicle was traveling northbound
436, car ,POSSESSED-FOR-POSSESSOR, a passing car observed the man , a passing car struck a motorist , driver , vehicle , a driver had ignored warnings , the vehicle then overturned onto the roof
437, train ,POSSESSED-FOR-POSSESSOR, trains go on strike , trains carry people , driver , vehicle , both drivers were wearing seatbelts , the other two vehicles sustained minor damages
438, jersey ,POSSESSED-FOR-POSSESSOR, green and white jerseys swarmed around the penalty areas , the game jerseys feature sleeves , player , garment , the players headed towards the tunnel , garments shrink in hot water
439, jersey ,POSSESSED-FOR-POSSESSOR, white jerseys swirl around stanford in torrents , many jerseys blend multiple fabrics , fan , garment , fans chanted his name  , the garments blend multiple fabrics
440, jersey ,POSSESSED-FOR-POSSESSOR, several green jerseys dragged the peloton across the plain , each jersey sported the logo , rider , garment , riders climb a steep hill , the long sleeves garment dropped to her knee
441, jersey ,POSSESSED-FOR-POSSESSOR, blue and white jerseys mobbed their teammate , their black and yellow team jerseys display a warning symbol , player , garment , the players returned to the pitch , the dry-cleaned garments hang on the bedroom closet door
442, jersey ,POSSESSED-FOR-POSSESSOR, red and green jerseys flooded out onto the street , orange jerseys paired with orange pants , fan , garment , fans marched outside the stadium , the classy garment boasted stylish lines
443, jersey ,POSSESSED-FOR-POSSESSOR, more and more blue jerseys settled into a defensive shape , the alternate black jerseys displayed the primary blue and orange logo , player , garment , the players played very well , the satin embroidered garment concealed her lean legs
444, jersey ,POSSESSED-FOR-POSSESSOR, a sea of white jerseys converged at halfcourt , the jerseys represent the colors on the flag , player , garment , the players prepare properly , the black garment flattered her trim
445, jersey ,POSSESSED-FOR-POSSESSOR, black jerseys surrounded the grandstand , the jersey carries a logo , fan , garment , fans love their champions , the garment covers half of the hand
446, shirt ,POSSESSED-FOR-POSSESSOR, the green shirts played a two-match series , shirts adorn the statue , player , garment , the players complimented each other , these garments accentuate your chest
447, shirt ,POSSESSED-FOR-POSSESSOR, the white shirts won 5-3 , blue or green shirts represent victims , player , garment , the players autographed footballs , later garments incorporate multiple pieces
448, tuxedo ,POSSESSED-FOR-POSSESSOR, 40 tuxedos paraded to a song , tuxedos cost $50 , man , dress , seven men play the bass   , the black dress hugged her famous curves
449, tuxedo ,POSSESSED-FOR-POSSESSOR, navy tuxedos infiltrated the red carpet , the black tuxedos lacked detail and texture , man , dress , the men attacked his bodyguard , his dress had ripped across the shoulders
450, tuxedo ,POSSESSED-FOR-POSSESSOR, handsome tuxedos marched along the street , the fashion house's tuxedos boast modern and slim fits , man , dress , young men huddled on the sidewalk jump , her cobalt blue dress showcased her curves
451, gown ,POSSESSED-FOR-POSSESSOR, gorgeous gowns walked the runway , his elegant gowns dressed movie stars , model , dress , live fashion models posed on pedestals , the dress highlighted her baby bump
452, gown ,POSSESSED-FOR-POSSESSOR, gowns sashayed one last time around the gorgeous new space , the gowns resisted exposure to synthetic blood , model , dress , her fashion models occupied the first seats , the dress skimmed her knees
453, gown ,POSSESSED-FOR-POSSESSOR, black gowns scamper through the nightly colleges , a white gown draped the women , woman , dress , women were enjoying new freedoms , her dress flaunted her slender pins
454, gown ,POSSESSED-FOR-POSSESSOR, some of the larger more sweeping gowns came down the runway , the flawless gowns fit perfectly , model , dresse , two female fashion models huddle together , their dresses all boasted wavy trains
455, garment ,POSSESSED-FOR-POSSESSOR, beautifully made garments parade down the runway , her garments combine lush looks with comfort , model , item , high-fashion models work with high-fashion designers , his clothing items include a zipper near the upper arm
456, garment ,POSSESSED-FOR-POSSESSOR, these garments walked the project runway stage , he likes the way workout garments shape the body , model , item , fashion models accused their industry , hundreds of warm clothing items lined the chapel
457, mask ,POSSESSED-FOR-POSSESSOR, the masks paraded through the streets , the mask protect soldiers , people , cover , people talk about their successes , the cover usually bears a special design
458, gun ,POSSESSED-FOR-POSSESSOR, no fewer than 18 guns protected the fort , the guns fired plastic pellets , soldier , weapon , the soldiers marched to the station , weapons flow freely across a porous border
459, gun ,POSSESSED-FOR-POSSESSOR, sir hugh gough's well placed guns win a victory over a sikh force , real guns shoot real bullets , soldier , weapon , several soldiers died in the raids , these weapons explode in the air
460, gun ,POSSESSED-FOR-POSSESSOR, plenty of guns fought against the nazi regime , two guns malfunctioned recently , man , weapon , men returned home , the weapon dangled from the shooter's sling    
461, gun ,POSSESSED-FOR-POSSESSOR, the polish guns breached the outer wall , guns misfired fatally , troops , weapon , southern troops rebelled against the northern political offensive , the weapon sounded like an ak-47
462, gun ,POSSESSED-FOR-POSSESSOR, 20 guns guarded the river crossings , both guns belonged to his father , soldier , weapon , the soldier wears a camouflage uniform , the whole weapon weighs less than 10 lbs
463, gun ,POSSESSED-FOR-POSSESSOR, 101 guns attacked the imperial fleet paraguayan positions , the guns recoil dramatically , soldier , weapon , government soldiers patrol the roads , several weapons jammed during the fight
464, gun ,POSSESSED-FOR-POSSESSOR, 656 guns supported the attack        , these guns lacked flintlock firing mechanisms , soldier , weapon , the soldiers sacrificed their lives        , a weapon accidentally discharged
465, cannon ,POSSESSED-FOR-POSSESSOR, the cannons assaulted the base , the cannons fired iron balls , soldier , artillery , soldiers kidnapped three nonviolent activists , artillery boomed across the valley
466, hand ,POSSESSED-FOR-POSSESSOR, several hired hands are fabricating a replica , his hands touch the snow , employee , part , all employees earn a pension , the body parts belonged to the boy
467, hand ,POSSESSED-FOR-POSSESSOR, the two hired hands negotiate the price , your hands grabbed the crutches , person , part , this person died of natural causes , the body parts belonged to the couple
468, hand ,POSSESSED-FOR-POSSESSOR, the rest of the hired hands napped after a morning of back-breaking work , his hands grasped the bar , employee , part , store employees volunteered their time , my body parts were dangling in the wind
469, hand ,POSSESSED-FOR-POSSESSOR, the rancher hired some hands , everyone raised their hands , worker , part , the company paid the workers through the end of december , the doctor amputated healthy body parts
470, hand ,POSSESSED-FOR-POSSESSOR, women may not be able to supervise hired hands , kids clasped their hands together , employee , part , companies could still fire employees , a murderer severed their body parts
471, hand ,POSSESSED-FOR-POSSESSOR, farmers replace hired hands , the teams shake hands after the game , employee , part , employers must pay their employees , the player injured more body parts than she can count
472, hand ,POSSESSED-FOR-POSSESSOR, 10000 farms in new york state employ hired hands , the product sanitizes the hands , people , part , exhibitors can meet more people face-to-face , camera angles and body posture hide sensitive body parts
473, violin ,POSSESSED-FOR-POSSESSOR, first and second violins sat on different sides of the stage , orchestral violins sound a little like violas , violinist , instrument , a violinist serenaded the crowd  , the instrument originated during the jazz age
474, violin ,POSSESSED-FOR-POSSESSOR, the second violins brilliantly obeyed the musical score , their violins hang on the wall behind them , violinist , instrument , the violinist has previously performed with the orchestra , brass instruments flourished in the 1920s
475, violin ,POSSESSED-FOR-POSSESSOR, the first violins will never stop moving their arms , the violin belonged to his mother , violinist , instrument , the violinist studies orchestral music , these instruments evolved in the 14th century
476, violin ,POSSESSED-FOR-POSSESSOR, the first violin tunes her instrument , the violin dates from 1715 , musician , instrument , a musician had composed a national anthem , their instruments incorporate the newer design
477, violin ,POSSESSED-FOR-POSSESSOR, the conductor seated the first and second violins across the stage , an 18-year-old boy has been loaned a rare violin , violinist , instrument , the quartet comprises violinists , the students tuned their instruments
478, violin ,POSSESSED-FOR-POSSESSOR, an orchestra needs violins tubas and flutes , his workshop repairs violins , musician , instrument , organisers would like to invite local musicians , several group members purchased their instruments from a dulcimer maker
479, violin ,POSSESSED-FOR-POSSESSOR, a violin and cello join the trio on stage , the violins screeched in the background , musician , instrument , the musicians rehearse regularly , the acoustic instruments developed in the united states
480, violin ,POSSESSED-FOR-POSSESSOR, the conductor conducts the violins , his father hand crafted a violin , player , instrument , the musician impressed the players , the family mastered various instruments
481, tuba ,POSSESSED-FOR-POSSESSOR, tubas take center stage , one tuba costs $3000 , player , instrument , a couple of players played the fight song , the instruments emit sustained tones
482, tuba ,POSSESSED-FOR-POSSESSOR, more than 275 tubas performed festive songs of the season , a tuba blasts a beat , player , instrument , the players are rehearsing their routine , these instruments produce very similar bass notes
483, tuba ,POSSESSED-FOR-POSSESSOR, the tubas are descending on faneuil hall , one tuba even dates back to 1961 , player , instrument , the players will travel to indianapolis , her instrument belonged to the orchestra
484, tuba ,POSSESSED-FOR-POSSESSOR, tubas still march around the stadium , the tubas sound like a giant low-pitched church organ , player , instrument , the players participate in two programs , musical instruments lined the wall
485, bagpipe ,POSSESSED-FOR-POSSESSOR, the bagpipes led a procession , the bagpipe originated in ireland , player , instrument , the players will gather outside the city hall , musical instruments adorn the house
486, trombone ,POSSESSED-FOR-POSSESSOR, 76 trombones marched into the park , most bass trombones include a tuning slide , musician , instrument , young musicians compete in auditions , these professional musical instruments cost a lot
487, trombone ,POSSESSED-FOR-POSSESSOR, the horns trumpets and trombones ably handled their parts , the sliding trombones pumped out the tune , musician , instrument , the musicians also won three prizes , brass musical instruments decorate the walls
488, muscle ,POSSESSED-FOR-POSSESSOR, his father hired muscle to teach the student a lesson , the sedative can relax muscles , person , tissue , the girl falsely accuse another person , adult stem cells primarily regenerate the tissue
489, muscle ,POSSESSED-FOR-POSSESSOR, a woman tries to recruit muscle to remove the man filming the confrontation , freezing temperatures tighten muscles , people , tissue , rapidly urbanizing cities are attracting people , the disease inflames the tissues
490, muscle ,POSSESSED-FOR-POSSESSOR, the star has recruited extra muscle to watch over her family , weight training tones the muscles , people , tissue , deputies charged two other people , acid can eventually scar the tissue
491, muscle ,POSSESSED-FOR-POSSESSOR, the dictatorship employs muscle directly from cuba , the winger tweaked the muscle , people , tissue , the attack murdered 17 people , the friction can damage the tissue
492, muscle ,POSSESSED-FOR-POSSESSOR, hired muscle has arrived in town , his muscles twitch convulsively , man , tissue , a man walks out of the office         , the tissue wasn't healing properly
493, muscle ,POSSESSED-FOR-POSSESSOR, her hired muscle whispered something to her , the muscle still ached sunday afternoon , man , organ , a man admits burglary spree , all your organs function on oxygen
494, voice ,POSSESSED-FOR-POSSESSOR, local choir seeks voices , officers heard voices , singer , sound , the directors audition about 200 singers , the speaker can reproduce sounds
495, voice ,POSSESSED-FOR-POSSESSOR, millikin children's choirs invite many voices , the phone was able to recognize voices , people , sound , participants will meet other people , the enclosure slightly mutes the sound
496, voice ,POSSESSED-FOR-POSSESSOR, community choir welcomes new voices , the researchers recorded the voices , member , sound , the campaign photographed 15 female members , the panels absorbed the sounds of the conversation
497, voice ,POSSESSED-FOR-POSSESSOR, the choir is recruiting voices , the lady modulated her voice , singer , sound , the show honored the legendary singer , the broadcast will capture the natural sound
498, voice ,POSSESSED-FOR-POSSESSOR, the voices appeared on stage , voice expressed emotion , singer , sound , all the singers wore linen , the sound emanates from her throat
499, voice ,POSSESSED-FOR-POSSESSOR, the government machine harasses conservative voices , the characters will dub their own voices , commentator , sound , his performance favourably impressed many commentators , brush and trees muffle most sounds
500, voice ,POSSESSED-FOR-POSSESSOR, the state oppresses minority voices , these birds mimic human voices , people , sound , the quake displaced 1.5 million people , the device then produces different sounds
501, voice ,POSSESSED-FOR-POSSESSOR, security forces often arrest critical voices too , nearby headphones transmit the voice , journalist , sound , terrorists have beheaded a journalist , the covers dampen the sounds
502, voice ,POSSESSED-FOR-POSSESSOR, the apartheid regime targeted and imprisoned any luminary voices , the genre suited our voices , people , sound , police shot three people , sensors detected the sound
503, voice ,POSSESSED-FOR-POSSESSOR, social media terrorists have intimidated all voices , the device can recognize voice , people , sound , news could surprise many people , the patients can perceive sound and pitch
504, voice ,POSSESSED-FOR-POSSESSOR, the regime assassinated dissenting voices , the medications alter the voice , people , sound , helicopters can rescue people , the roommate heard some sound
505, brain ,POSSESSED-FOR-POSSESSOR, the company hires brains , players can damage their brains unnecessarily , people , organ , the field still attracts visionary people , scientists have successfully regenerated an organ
506, brain ,POSSESSED-FOR-POSSESSOR, the country attracts the brains , the researchers scanned their brains , people , organ , the organization has so far helped nearly 300 people , the wounds damaged the organ
507, brain ,POSSESSED-FOR-POSSESSOR, the best brains choose to emigrate elsewhere , the brain regulates our sleep-wake cycles , people , organ , these people have voted against the president , its organs had deteriorated so badly
508, palate ,POSSESSED-FOR-POSSESSOR, the best palates judged the wine , palates tingle in appreciation , expert , mouth , our experts are examining the matter , their mouths gape broadly
509, palate ,POSSESSED-FOR-POSSESSOR, the expert invited the best palates , tequila helped cleanse the palate , connoisseur , mouth , the shortlist announcement had already impressed many connoisseurs , patients should rinse their mouth
